Info 0    [02:31:21.674] Starting TS Server
Info 1    [02:31:21.674] Version: 4.7.4
Info 2    [02:31:21.674] Arguments: /snap/node/6619/bin/node /usr/local/lib/node_modules/typescript/lib/tsserver.js --logFile /home/cosmic/learnIT/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/a8a16a49706b9b80865fb37b616e13a2/tscancellation*
Info 3    [02:31:21.674] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [02:31:21.674] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [02:31:21.704] Format host information updated
Info 6    [02:31:21.720] Search path: /home/cosmic/learnIT/src/submit
Info 7    [02:31:21.722] For info: /home/cosmic/learnIT/src/submit/submit.js :: No config files found.
Info 8    [02:31:21.732] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [02:31:49.184] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 27451.112474999973ms
Info 10   [02:31:49.184] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [02:31:49.184] 	Files (822)

Info 12   [02:31:49.184] -----------------------------------------------
Info 13   [02:31:49.348] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 14   [02:36:40.021] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 15   [02:36:40.260] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: SafeModules Elapsed: 237.96185900003184ms
Info 16   [02:36:40.260] Project '/dev/null/inferredProject1*' (Inferred)
Info 17   [02:36:40.260] 	Files (219)

Info 18   [02:36:40.260] -----------------------------------------------
Info 19   [02:36:40.638] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [02:36:40.705] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 67.6387799999211ms
Info 21   [02:36:40.706] Different program with same set of files
Info 22   [02:38:32.686] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [02:38:32.809] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 122.6685329999309ms
Info 24   [02:38:32.809] Different program with same set of files
Info 25   [02:38:32.812] getCompletionData: Get current token: 0.05112099996767938
Info 26   [02:38:32.812] getCompletionData: Is inside comment: 0.07441800006199628
Info 27   [02:38:32.812] getCompletionData: Get previous token: 0.09468199999537319
Info 28   [02:38:32.815] getCompletionsAtPosition: isCompletionListBlocker: 0.5175200001103804
Info 29   [02:38:32.973] getCompletionData: Semantic work: 158.36969399999361
Info 30   [02:38:33.005] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 28.65972800005693
Info 31   [02:38:33.948] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [02:38:34.017] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 69.23428899992723ms
Info 33   [02:38:34.017] Different program with same set of files
Info 34   [02:38:40.057] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 35   [02:38:40.129] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 71.85706199996639ms
Info 36   [02:38:40.129] Different program with same set of files
Info 37   [02:38:40.130] getCompletionData: Get current token: 0.00997999997343868
Info 38   [02:38:40.130] getCompletionData: Is inside comment: 0.004398000077344477
Info 39   [02:38:40.130] getCompletionData: Get previous token: 0.06340999994426966
Info 40   [02:38:40.130] getCompletionsAtPosition: isCompletionListBlocker: 0.004320999956689775
Info 41   [02:38:40.161] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 42   [02:38:40.162] getExportInfoMap: cache miss or empty; calculating new results
Info 43   [02:38:40.255] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 44   [02:38:40.255] getExportInfoMap: done in 114.4245210000081 ms
Info 45   [02:38:40.256] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 46   [02:38:40.275] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 47   [02:38:40.275] collectAutoImports: response is complete
Info 48   [02:38:40.276] collectAutoImports: 19.059538999921642
Info 49   [02:38:40.276] getCompletionData: Semantic work: 145.83405599999242
Info 50   [02:38:40.369] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 50.012630000011995
Info 51   [02:38:40.374] getCompletionData: Get current token: 0.020101999980397522
Info 52   [02:38:40.374] getCompletionData: Is inside comment: 0.006178000010550022
Info 53   [02:38:40.374] getCompletionData: Get previous token: 0.09534300002269447
Info 54   [02:38:40.374] getCompletionsAtPosition: isCompletionListBlocker: 0.004255999927408993
Info 55   [02:38:40.378] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 56   [02:38:40.378] getExportInfoMap: cache hit
Info 57   [02:38:40.378] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 58   [02:38:40.390] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 59   [02:38:40.391] collectAutoImports: response is complete
Info 60   [02:38:40.391] collectAutoImports: 12.206532000098377
Info 61   [02:38:40.391] getCompletionData: Semantic work: 16.523615000071004
Info 62   [02:38:40.430] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 34.41044300002977
Info 63   [02:38:40.437] getCompletionData: Get current token: 0.02593400003388524
Info 64   [02:38:40.437] getCompletionData: Is inside comment: 0.011482000001706183
Info 65   [02:38:40.437] getCompletionData: Get previous token: 0.1362059999955818
Info 66   [02:38:40.437] getCompletionsAtPosition: isCompletionListBlocker: 0.01049999997485429
Info 67   [02:38:40.446] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 68   [02:38:40.446] getExportInfoMap: cache hit
Info 69   [02:38:40.447] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 70   [02:38:40.452] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 71   [02:38:40.452] collectAutoImports: response is complete
Info 72   [02:38:40.452] collectAutoImports: 5.437827999936417
Info 73   [02:38:40.452] getCompletionData: Semantic work: 15.04835399996955
Info 74   [02:38:40.482] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 28.57318499998655
Info 75   [02:38:40.486] getCompletionData: Get current token: 0.010466000065207481
Info 76   [02:38:40.486] getCompletionData: Is inside comment: 0.0067640000488609076
Info 77   [02:38:40.486] getCompletionData: Get previous token: 0.058727000025101006
Info 78   [02:38:40.486] getCompletionsAtPosition: isCompletionListBlocker: 0.0041180000407621264
Info 79   [02:38:40.490] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 80   [02:38:40.490] getExportInfoMap: cache hit
Info 81   [02:38:40.490] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 82   [02:38:40.493] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 83   [02:38:40.493] collectAutoImports: response is complete
Info 84   [02:38:40.493] collectAutoImports: 2.794376000063494
Info 85   [02:38:40.493] getCompletionData: Semantic work: 6.970526000019163
Info 86   [02:38:40.513] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 17.592060000053607
Info 87   [02:38:40.516] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 88   [02:38:40.555] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 38.96024599997327ms
Info 89   [02:38:40.555] Different program with same set of files
Info 90   [02:38:40.555] getCompletionData: Get current token: 0.009414999978616834
Info 91   [02:38:40.555] getCompletionData: Is inside comment: 0.0039030000334605575
Info 92   [02:38:40.555] getCompletionData: Get previous token: 0.05378899991046637
Info 93   [02:38:40.556] getCompletionsAtPosition: isCompletionListBlocker: 0.006389999995008111
Info 94   [02:38:40.565] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 95   [02:38:40.565] getExportInfoMap: cache hit
Info 96   [02:38:40.566] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 97   [02:38:40.572] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 98   [02:38:40.572] collectAutoImports: response is complete
Info 99   [02:38:40.572] collectAutoImports: 5.824479000060819
Info 100  [02:38:40.572] getCompletionData: Semantic work: 16.031526000006124
Info 101  [02:38:40.627] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 19.811099999933504
Info 102  [02:38:40.630] getCompletionData: Get current token: 0.009181999950669706
Info 103  [02:38:40.630] getCompletionData: Is inside comment: 0.004572000005282462
Info 104  [02:38:40.630] getCompletionData: Get previous token: 0.05221500003244728
Info 105  [02:38:40.630] getCompletionsAtPosition: isCompletionListBlocker: 0.0036680001066997647
Info 106  [02:38:40.633] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 107  [02:38:40.633] getExportInfoMap: cache hit
Info 108  [02:38:40.634] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 109  [02:38:40.637] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 110  [02:38:40.637] collectAutoImports: response is complete
Info 111  [02:38:40.637] collectAutoImports: 2.738424999988638
Info 112  [02:38:40.637] getCompletionData: Semantic work: 6.440277999965474
Info 113  [02:38:40.660] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 20.940468000015244
Info 114  [02:38:40.663] getCompletionData: Get current token: 0.009890999994240701
Info 115  [02:38:40.663] getCompletionData: Is inside comment: 0.004043999942950904
Info 116  [02:38:40.664] getCompletionData: Get previous token: 0.05539700004737824
Info 117  [02:38:40.664] getCompletionsAtPosition: isCompletionListBlocker: 0.004141999990679324
Info 118  [02:38:40.671] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 119  [02:38:40.671] getExportInfoMap: cache hit
Info 120  [02:38:40.671] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 121  [02:38:40.677] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 122  [02:38:40.677] collectAutoImports: response is complete
Info 123  [02:38:40.677] collectAutoImports: 5.621792000019923
Info 124  [02:38:40.677] getCompletionData: Semantic work: 13.54292500007432
Info 125  [02:38:40.698] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 19.3046359999571
Info 126  [02:38:40.701] getCompletionData: Get current token: 0.014300000038929284
Info 127  [02:38:40.701] getCompletionData: Is inside comment: 0.005659000016748905
Info 128  [02:38:40.701] getCompletionData: Get previous token: 0.059716999996453524
Info 129  [02:38:40.701] getCompletionsAtPosition: isCompletionListBlocker: 0.007442999980412424
Info 130  [02:38:40.704] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 131  [02:38:40.704] getExportInfoMap: cache hit
Info 132  [02:38:40.705] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 133  [02:38:40.708] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 134  [02:38:40.708] collectAutoImports: response is complete
Info 135  [02:38:40.708] collectAutoImports: 2.8031700000865385
Info 136  [02:38:40.708] getCompletionData: Semantic work: 6.3062999999383464
Info 137  [02:38:40.717] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.212990999920294
Info 138  [02:38:40.719] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 139  [02:38:40.764] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 45.35348900000099ms
Info 140  [02:38:40.764] Different program with same set of files
Info 141  [02:38:40.765] getCompletionData: Get current token: 0.010311999940313399
Info 142  [02:38:40.765] getCompletionData: Is inside comment: 0.008105000015348196
Info 143  [02:38:40.765] getCompletionData: Get previous token: 0.06561699998565018
Info 144  [02:38:40.765] getCompletionsAtPosition: isCompletionListBlocker: 0.007749999989755452
Info 145  [02:38:40.778] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 146  [02:38:40.778] getExportInfoMap: cache hit
Info 147  [02:38:40.779] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
