Info 0    [08:32:00.249] Starting TS Server
Info 1    [08:32:00.291] Version: 4.6.4
Info 2    [08:32:00.291] Arguments: /snap/node/6275/bin/node /home/cosmic/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js --logFile /home/cosmic/Documents/projects/learnIT/src/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/814644e3ab3180871703fe4353a90082/tscancellation*
Info 3    [08:32:00.291] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [08:32:00.291] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [08:32:00.327] Format host information updated
Info 6    [08:32:00.343] Search path: /home/cosmic/Documents/projects/learnIT/src
Info 7    [08:32:00.344] For info: /home/cosmic/Documents/projects/learnIT/src/Data.js :: No config files found.
Info 8    [08:32:00.349] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [08:32:25.369] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 25020.416136998683ms
Info 10   [08:32:25.370] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [08:32:25.370] 	Files (216)

Info 12   [08:32:25.370] -----------------------------------------------
Info 13   [08:32:25.608] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 14   [08:36:43.415] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 15   [08:36:43.539] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 123.53020500019193ms
Info 16   [08:36:43.539] Different program with same set of files
Info 17   [08:36:43.749] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [08:36:43.831] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 81.00064500048757ms
Info 19   [08:36:43.831] Different program with same set of files
Info 20   [08:36:44.106] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [08:36:44.164] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 57.696677001193166ms
Info 22   [08:36:44.164] Different program with same set of files
Info 23   [08:36:45.019] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [08:36:45.072] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 52.59003599919379ms
Info 25   [08:36:45.072] Different program with same set of files
Info 26   [08:36:45.209] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 27   [08:36:45.255] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 45.659061999991536ms
Info 28   [08:36:45.255] Different program with same set of files
Info 29   [08:36:45.372] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 30   [08:36:45.419] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 47.02470500022173ms
Info 31   [08:36:45.419] Different program with same set of files
Info 32   [08:36:45.699] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 33   [08:36:45.749] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 49.32781399972737ms
Info 34   [08:36:45.749] Different program with same set of files
Info 35   [08:36:45.994] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [08:36:46.035] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 40.86813800036907ms
Info 37   [08:36:46.035] Different program with same set of files
Info 38   [08:36:46.858] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 39   [08:36:46.893] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 34.323528999462724ms
Info 40   [08:36:47.346] Different program with same set of files
Info 41   [08:36:47.364] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 42   [08:36:47.397] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 32.64268100075424ms
Info 43   [08:36:47.397] Different program with same set of files
Info 44   [08:36:47.964] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 45   [08:36:48.003] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 38.635447999462485ms
Info 46   [08:36:48.003] Different program with same set of files
Info 47   [08:36:48.835] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 48   [08:36:48.874] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 38.54778500087559ms
Info 49   [08:36:48.874] Different program with same set of files
Info 50   [08:36:48.998] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 51   [08:36:49.057] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 58.52445700019598ms
Info 52   [08:36:49.057] Different program with same set of files
Info 53   [08:36:49.297] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 54   [08:36:49.348] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 51.67974200099707ms
Info 55   [08:36:49.349] Different program with same set of files
Info 56   [08:36:50.000] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 57   [08:36:50.051] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 51.06220299936831ms
Info 58   [08:36:50.051] Different program with same set of files
Info 59   [08:36:50.175] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 60   [08:36:50.208] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 32.828714000061154ms
Info 61   [08:36:50.208] Different program with same set of files
Info 62   [08:36:52.164] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 63   [08:36:52.212] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 48.26427499949932ms
Info 64   [08:36:52.212] Different program with same set of files
Info 65   [08:36:52.340] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 66   [08:36:52.374] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 33.6853759996593ms
Info 67   [08:36:52.374] Different program with same set of files
Info 68   [08:36:52.764] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 69   [08:36:52.801] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false structureIsReused:: Completely Elapsed: 37.3495680000633ms
Info 70   [08:36:52.801] Different program with same set of files
Info 71   [08:36:53.399] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 72   [08:36:53.444] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false structureIsReused:: Completely Elapsed: 45.02476399950683ms
Info 73   [08:36:53.444] Different program with same set of files
Info 74   [08:36:53.927] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 75   [08:36:53.973] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false structureIsReused:: Completely Elapsed: 45.2274350002408ms
Info 76   [08:36:53.973] Different program with same set of files
Info 77   [08:36:54.062] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 78   [08:36:54.098] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false structureIsReused:: Completely Elapsed: 35.530392000451684ms
Info 79   [08:36:54.098] Different program with same set of files
Info 80   [08:36:54.323] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 81   [08:36:54.361] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false structureIsReused:: Completely Elapsed: 37.52102799899876ms
Info 82   [08:36:54.361] Different program with same set of files
Info 83   [08:36:54.568] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 84   [08:36:54.605] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false structureIsReused:: Completely Elapsed: 36.67437200061977ms
Info 85   [08:36:54.605] Different program with same set of files
Info 86   [08:36:55.500] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 87   [08:36:55.551] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false structureIsReused:: Completely Elapsed: 50.10285800136626ms
Info 88   [08:36:55.551] Different program with same set of files
Info 89   [08:36:55.713] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 90   [08:36:55.747] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false structureIsReused:: Completely Elapsed: 34.76968399994075ms
Info 91   [08:36:55.748] Different program with same set of files
Info 92   [08:36:56.296] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 93   [08:36:56.339] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false structureIsReused:: Completely Elapsed: 42.583866000175476ms
Info 94   [08:36:56.339] Different program with same set of files
Info 95   [08:36:56.602] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 96   [08:36:56.636] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false structureIsReused:: Completely Elapsed: 33.28785199858248ms
Info 97   [08:36:56.636] Different program with same set of files
Info 98   [08:36:57.055] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 99   [08:36:57.096] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false structureIsReused:: Completely Elapsed: 40.57872600108385ms
Info 100  [08:36:57.096] Different program with same set of files
Info 101  [08:36:57.977] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 102  [08:36:58.021] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false structureIsReused:: Completely Elapsed: 43.81112599931657ms
Info 103  [08:36:58.021] Different program with same set of files
Info 104  [08:36:59.181] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 105  [08:36:59.226] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false structureIsReused:: Completely Elapsed: 44.844419999048114ms
Info 106  [08:36:59.226] Different program with same set of files
Info 107  [08:36:59.981] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 108  [08:37:00.023] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false structureIsReused:: Completely Elapsed: 41.93012199923396ms
Info 109  [08:37:00.023] Different program with same set of files
Info 110  [08:38:23.666] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 111  [08:38:23.733] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false structureIsReused:: Completely Elapsed: 66.74014800041914ms
Info 112  [08:38:23.733] Different program with same set of files
Info 113  [08:38:23.739] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 114  [08:38:23.795] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false structureIsReused:: Completely Elapsed: 55.78981300070882ms
Info 115  [08:38:23.795] Different program with same set of files
Info 116  [08:38:24.055] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 117  [08:38:24.117] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false structureIsReused:: Completely Elapsed: 61.538173999637365ms
Info 118  [08:38:24.117] Different program with same set of files
Info 119  [08:38:24.213] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 120  [08:38:24.248] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false structureIsReused:: Completely Elapsed: 34.5681290011853ms
Info 121  [08:38:24.248] Different program with same set of files
Info 122  [08:38:24.536] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 123  [08:38:24.581] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false structureIsReused:: Completely Elapsed: 45.34521800093353ms
Info 124  [08:38:24.581] Different program with same set of files
Info 125  [08:38:26.293] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 126  [08:38:26.333] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false structureIsReused:: Completely Elapsed: 39.722190998494625ms
Info 127  [08:38:26.333] Different program with same set of files
Info 128  [08:38:27.291] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 129  [08:38:27.327] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false structureIsReused:: Completely Elapsed: 36.66562799923122ms
Info 130  [08:38:27.645] Different program with same set of files
Info 131  [08:38:35.783] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 132  [08:38:35.833] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false structureIsReused:: Completely Elapsed: 49.55534599907696ms
Info 133  [08:38:35.833] Different program with same set of files
Info 134  [08:38:36.847] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 135  [08:38:36.881] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false structureIsReused:: Completely Elapsed: 34.01011300086975ms
Info 136  [08:38:36.881] Different program with same set of files
Info 137  [08:38:40.430] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 138  [08:38:40.466] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false structureIsReused:: Completely Elapsed: 36.72284800000489ms
Info 139  [08:38:40.467] Different program with same set of files
Info 140  [08:38:42.042] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 141  [08:38:42.085] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false structureIsReused:: Completely Elapsed: 43.08771999925375ms
Info 142  [08:38:42.085] Different program with same set of files
Info 143  [08:38:43.302] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 144  [08:38:43.346] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false structureIsReused:: Completely Elapsed: 44.38566399924457ms
Info 145  [08:38:43.346] Different program with same set of files
Info 146  [08:38:44.222] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 147  [08:38:44.262] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false structureIsReused:: Completely Elapsed: 40.18591699935496ms
Info 148  [08:38:44.262] Different program with same set of files
Info 149  [08:38:44.729] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 150  [08:38:44.766] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: false structureIsReused:: Completely Elapsed: 36.52743300050497ms
Info 151  [08:38:44.766] Different program with same set of files
Info 152  [08:38:46.691] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
